類別：所有類別

時間,葡萄王: (台灣)
2023-11-05T08:22:00+08:00,0
2023-11-05T08:23:00+08:00,12
2023-11-05T08:24:00+08:00,0
2023-11-05T08:25:00+08:00,0
2023-11-05T08:26:00+08:00,0
2023-11-05T08:27:00+08:00,0
2023-11-05T08:28:00+08:00,0
2023-11-05T08:29:00+08:00,0
2023-11-05T08:30:00+08:00,0
2023-11-05T08:31:00+08:00,0
2023-11-05T08:32:00+08:00,0
2023-11-05T08:33:00+08:00,0
2023-11-05T08:34:00+08:00,0
2023-11-05T08:35:00+08:00,0
2023-11-05T08:36:00+08:00,0
2023-11-05T08:37:00+08:00,0
2023-11-05T08:38:00+08:00,0
2023-11-05T08:39:00+08:00,0
2023-11-05T08:40:00+08:00,0
2023-11-05T08:41:00+08:00,0
2023-11-05T08:42:00+08:00,0
2023-11-05T08:43:00+08:00,0
2023-11-05T08:44:00+08:00,0
2023-11-05T08:45:00+08:00,0
2023-11-05T08:46:00+08:00,0
2023-11-05T08:47:00+08:00,16
2023-11-05T08:48:00+08:00,13
2023-11-05T08:49:00+08:00,0
2023-11-05T08:50:00+08:00,0
2023-11-05T08:51:00+08:00,0
2023-11-05T08:52:00+08:00,11
2023-11-05T08:53:00+08:00,0
2023-11-05T08:54:00+08:00,0
2023-11-05T08:55:00+08:00,15
2023-11-05T08:56:00+08:00,0
2023-11-05T08:57:00+08:00,0
2023-11-05T08:58:00+08:00,0
2023-11-05T08:59:00+08:00,24
2023-11-05T09:00:00+08:00,0
2023-11-05T09:01:00+08:00,0
2023-11-05T09:02:00+08:00,0
2023-11-05T09:03:00+08:00,13
2023-11-05T09:04:00+08:00,0
2023-11-05T09:05:00+08:00,0
2023-11-05T09:06:00+08:00,0
2023-11-05T09:07:00+08:00,0
2023-11-05T09:08:00+08:00,10
2023-11-05T09:09:00+08:00,0
2023-11-05T09:10:00+08:00,7
2023-11-05T09:11:00+08:00,0
2023-11-05T09:12:00+08:00,0
